               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10269,            0.029182,            0.027537,            0.010431,             0.59493,             0.04665,            0.015769,            0.084653,            0.018534,            0.024447,              0.0739,              0.0029,              0.0029
                   1,            0.075009,            0.027963,            0.020163,            0.098843,             0.18872,             0.11108,            0.029663,            0.069506,            0.014544,            0.016771,            0.046783,           0.0057832,           0.0057832
                   2,            0.068642,            0.026833,            0.011729,             0.20216,              0.3054,             0.15951,            0.040293,            0.067846,            0.013868,            0.014164,            0.019548,           0.0085476,           0.0085476
                   3,            0.068524,            0.023627,           0.0065557,             0.26054,             0.24459,             0.21196,             0.07885,            0.073584,            0.013797,           0.0047885,            0.009406,            0.009406,            0.009406
                   4,            0.063193,            0.023609,           0.0049818,              0.4208,             0.38745,             0.36154,             0.10567,            0.070214,            0.014504,           0.0043364,            0.009406,            0.009406,            0.009406
                   5,            0.059937,            0.023031,           0.0044805,             0.19262,              0.1476,             0.11445,            0.031395,             0.07329,             0.01467,            0.010817,            0.009208,            0.009208,            0.009208
                   6,            0.060355,            0.024006,           0.0040922,             0.30443,             0.42764,             0.32691,            0.089923,            0.068325,            0.013651,           0.0020588,             0.00901,             0.00901,             0.00901
                   7,            0.057082,            0.022593,           0.0057644,             0.24848,              0.2651,              0.2138,             0.05142,             0.07414,             0.01346,           0.0073894,            0.008812,            0.008812,            0.008812
                   8,            0.055676,            0.021574,            0.005641,             0.36754,             0.31097,              0.2877,            0.099665,            0.064974,            0.015017,            0.018204,            0.008614,            0.008614,            0.008614
                   9,             0.05538,            0.024108,           0.0053471,             0.45508,             0.34771,             0.33559,             0.10268,            0.065519,            0.013924,            0.008518,            0.008416,            0.008416,            0.008416
                  10,            0.053216,            0.021979,           0.0029042,             0.45793,             0.42713,             0.37119,             0.11666,            0.059177,             0.01375,            0.003595,            0.008218,            0.008218,            0.008218
                  11,            0.050181,             0.02077,           0.0034081,             0.52859,             0.45907,             0.44374,             0.14634,            0.061747,            0.014234,           0.0023967,             0.00802,             0.00802,             0.00802
                  12,            0.050506,              0.0214,           0.0026542,             0.61131,              0.4868,             0.46822,             0.15314,            0.063361,            0.013578,           0.0027555,            0.007822,            0.007822,            0.007822
                  13,            0.050934,            0.022512,           0.0025315,             0.73219,             0.34148,             0.37436,             0.10962,            0.067978,            0.013831,             0.01015,            0.007624,            0.007624,            0.007624
                  14,            0.051011,            0.021317,           0.0021899,             0.35357,             0.20315,             0.19558,             0.05073,            0.074493,            0.014112,            0.014112,            0.007426,            0.007426,            0.007426
                  15,            0.047148,             0.02126,           0.0025622,             0.41287,             0.40662,             0.35738,             0.11931,            0.062365,            0.013991,           0.0041106,            0.007228,            0.007228,            0.007228
                  16,            0.049667,            0.021601,            0.003919,             0.55476,             0.40924,             0.42756,             0.13783,            0.060908,            0.014807,            0.013632,             0.00703,             0.00703,             0.00703
                  17,            0.047163,            0.021589,           0.0030792,             0.44458,             0.49794,             0.38732,             0.13169,            0.062113,            0.014276,           0.0031059,            0.006832,            0.006832,            0.006832
                  18,            0.048034,            0.021639,           0.0043912,             0.50882,             0.38642,             0.38544,             0.13185,            0.063616,             0.01406,           0.0055438,            0.006634,            0.006634,            0.006634
                  19,            0.047557,            0.022325,           0.0023184,             0.55903,             0.47846,             0.44087,              0.1325,             0.06122,            0.013887,           0.0083545,            0.006436,            0.006436,            0.006436
                  20,            0.045626,            0.020802,           0.0017363,             0.48299,             0.49856,              0.4156,             0.13095,            0.060702,            0.013958,           0.0031238,            0.006238,            0.006238,            0.006238
                  21,            0.046382,            0.020123,           0.0024825,             0.53487,             0.44515,             0.41884,             0.14478,            0.066333,            0.012573,           0.0020292,             0.00604,             0.00604,             0.00604
                  22,            0.045605,            0.021233,           0.0025269,             0.64289,             0.47866,             0.47603,             0.17101,             0.05783,            0.015735,           0.0082386,            0.005842,            0.005842,            0.005842
                  23,            0.044613,            0.023691,           0.0015426,             0.63062,             0.53937,             0.53494,             0.19557,            0.059181,             0.01438,           0.0021236,            0.005644,            0.005644,            0.005644
